Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"174","'620","Portugal","667","'01620","Tea leaves","5312","Area harvested","2015","2015","ha","21.000000","E"
"174","'620","Portugal","336","'01449.02","Hempseed","5510","Production","1986","1986","tonnes",,"M"
"203","'724","Spain","366","'01216","Artichokes","5510","Production","2009","2009","tonnes","194099.000000","A"
"79","'276","Germany","393","'01213","Cauliflowers and broccoli","5419","Yield","2002","2002","hg/ha","220707.000000","E"
"203","'724","Spain","689","'01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","5419","Yield","2012","2012","hg/ha","31950.000000","E"
"203","'724","Spain","1097","'21118.01","Horse meat, fresh or chilled","5510","Production","1970","1970","tonnes","6560.000000","A"
"68","'250","France","541","'01349.20","Other stone fruits","5419","Yield","1987","1987","hg/ha","60606.000000","E"
"68","'250","France","773","'26190.01","Flax, processed but not spun","5312","Area harvested","2009","2009","ha","56653.000000","A"
"68","'250","France","258","'21691.14","Oil of palm kernel","5510","Production","1993","1993","tonnes","100.000000","E"
"106","'380","Italy","401","'01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","5419","Yield","1986","1986","hg/ha","245906.000000","E"
"68","'250","France","181","'01702","Broad beans and horse beans, dry","5510","Production","2006","2006","tonnes","290480.000000","A"
"174","'620","Portugal","1806","'F1806","Beef and Buffalo Meat","5417","Yield/Carcass Weight","1981","1981","hg/An","2349.000000","E"
"106","'380","Italy","414","'01241.90","Other beans, green","5419","Yield","1999","1999","hg/ha","83511.000000","E"
"79","'276","Germany","995","'02953","Raw hides and skins of sheep or lambs","5510","Production","1962","1962","tonnes","6050.000000","E"
"79","'276","Germany","547","'01353.01","Raspberries","5312","Area harvested","1973","1973","ha",,"M"
"203","'724","Spain","894","'22221.01","Whole milk, evaporated","5510","Production","2009","2009","tonnes","15000.000000","E"
"203","'724","Spain","1034","'02140","Swine / pigs","5111","Stocks","1982","1982","Head","12023000.000000","A"
"68","'250","France","426","'01251","Carrots and turnips","5419","Yield","2005","2005","hg/ha","414525.000000","E"
"68","'250","France","777","'01929.02","True hemp, raw or retted","5419","Yield","1998","1998","hg/ha","55684.000000","E"
"68","'250","France","211","'01709.90","Other pulses n.e.c.","5419","Yield","1997","1997","hg/ha","40000.000000","E"
"106","'380","Italy","1738","'F1738","Fruit Primary","5510","Production","1963","1963","tonnes","16802632.000000","E"
"203","'724","Spain","1242","'21700.02","Margarine and shortening","5510","Production","2004","2004","tonnes","88000.000000","T"
"106","'380","Italy","544","'01354","Strawberries","5419","Yield","2017","2017","hg/ha","258157.000000","E"
"203","'724","Spain","222","'01376","Walnuts, in shell","5312","Area harvested","1983","1983","ha","820.000000","A"
"203","'724","Spain","572","'01311","Avocados","5312","Area harvested","2012","2012","ha","10645.000000","A"
"79","'276","Germany","560","'01330","Grapes","5419","Yield","1985","1985","hg/ha","87616.000000","T"
"174","'620","Portugal","544","'01354","Strawberries","5419","Yield","1991","1991","hg/ha","31250.000000","E"
"203","'724","Spain","176","'01701","Beans, dry","5419","Yield","1981","1981","hg/ha","6078.000000","E"
"203","'724","Spain","191","'01703","Chick peas, dry","5312","Area harvested","1971","1971","ha","129700.000000","A"
"174","'620","Portugal","1242","'21700.02","Margarine and shortening","5510","Production","1971","1971","tonnes","29000.000000","A"
"203","'724","Spain","531","'01344.02","Cherries","5312","Area harvested","1970","1970","ha","6600.000000","A"
"68","'250","France","420","'01243","Broad beans and horse beans, green","5419","Yield","1964","1964","hg/ha","108219.000000","E"
"79","'276","Germany","901","'22251.01","Cheese from whole cow milk","5510","Production","2003","2003","tonnes","1009600.000000","A"
"79","'276","Germany","550","'01351.01","Currants","5312","Area harvested","2008","2008","ha","2025.000000","A"
"106","'380","Italy","176","'01701","Beans, dry","5312","Area harvested","2006","2006","ha","8179.000000","A"
"106","'380","Italy","108","'01199.90","Cereals n.e.c.","5510","Production","1991","1991","tonnes","5530.000000","T"
"203","'724","Spain","116","'01510","Potatoes","5510","Production","1968","1968","tonnes","4545800.000000","A"
"68","'250","France","889","'22222.01","Whole milk, condensed","5510","Production","1966","1966","tonnes","85000.000000","T"
"79","'276","Germany","403","'01253.02","Onions and shallots, dry (excluding dehydrated)","5510","Production","1972","1972","tonnes","93898.000000","A"
"174","'620","Portugal","237","'2161","Soya bean oil","5510","Production","1986","1986","tonnes","130000.000000","E"
"68","'250","France","1738","'F1738","Fruit Primary","5312","Area harvested","2003","2003","ha","1008810.000000","E"
"79","'276","Germany","1035","'21113.01","Meat of pig with the bone, fresh or chilled","5417","Yield/Carcass Weight","2018","2018","hg/An","944.000000","E"
"79","'276","Germany","205","'01709.01","Vetches","5419","Yield","1961","1961","hg/ha","8291.000000","E"
"203","'724","Spain","393","'01213","Cauliflowers and broccoli","5419","Yield","2008","2008","hg/ha","181408.000000","E"
"106","'380","Italy","397","'01232","Cucumbers and gherkins","5510","Production","1985","1985","tonnes","123400.000000","A"
"174","'620","Portugal","407","'01254","Leeks and other alliaceous vegetables","5312","Area harvested","2018","2018","ha","890.000000","A"
"68","'250","France","1089","'21170.01","Meat of pigeons and other birds n.e.c., fresh, chilled or frozen","5510","Production","1997","1997","tonnes","794.000000","E"
"79","'276","Germany","867","'21111.01","Meat of cattle with the bone, fresh or chilled","5510","Production","1995","1995","tonnes","1407800.000000","A"
"79","'276","Germany","1035","'21113.01","Meat of pig with the bone, fresh or chilled","5417","Yield/Carcass Weight","1970","1970","hg/An","892.000000","E"
"203","'724","Spain","1807","'F1807","Sheep and Goat Meat","5320","Producing Animals/Slaughtered","2012","2012","Head","11825755.000000","E"
"68","'250","France","406","'01252","Green garlic","5510","Production","2016","2016","tonnes","21932.000000","A"
"174","'620","Portugal","677","'01659","Hop cones","5510","Production","1994","1994","tonnes","97.000000","A"
"174","'620","Portugal","574","'01318","Pineapples","5419","Yield","1998","1998","hg/ha","254583.000000","E"
"203","'724","Spain","236","'0141","Soya beans","5510","Production","1971","1971","tonnes","2196.000000","A"
"174","'620","Portugal","51","'24310.01","Beer of barley, malted","5510","Production","1990","1990","tonnes","691877.000000","A"
"203","'724","Spain","572","'01311","Avocados","5510","Production","1997","1997","tonnes","52409.000000","A"
"79","'276","Germany","292","'01442","Mustard seed","5510","Production","1981","1981","tonnes","5517.000000","A"
"174","'620","Portugal","544","'01354","Strawberries","5419","Yield","1992","1992","hg/ha","31250.000000","E"
"174","'620","Portugal","1035","'21113.01","Meat of pig with the bone, fresh or chilled","5417","Yield/Carcass Weight","2002","2002","hg/An","698.000000","E"
"106","'380","Italy","526","'01343","Apricots","5312","Area harvested","1991","1991","ha","14328.000000","A"
"68","'250","France","1720","'F1720","Roots and Tubers, Total","5510","Production","2012","2012","tonnes","6417078.000000","E"
"106","'380","Italy","270","'01443","Rape or colza seed","5510","Production","2003","2003","tonnes","6636.000000","A"
"174","'620","Portugal","995","'02953","Raw hides and skins of sheep or lambs","5510","Production","1983","1983","tonnes","4800.000000","E"
"174","'620","Portugal","1808","'F1808","Meat, Poultry","5321","Producing Animals/Slaughtered","1981","1981","1000 Head","105560.000000","E"
"203","'724","Spain","572","'01311","Avocados","5419","Yield","2009","2009","hg/ha","71816.000000","E"
"106","'380","Italy","900","'22130.02","Whey, dry","5510","Production","2002","2002","tonnes","7998.000000","I"
"106","'380","Italy","417","'01242","Peas, green","5419","Yield","1991","1991","hg/ha","68616.000000","E"
"203","'724","Spain","898","'22212","Skim milk and whey powder","5510","Production","1969","1969","tonnes","6732.000000","A"
"174","'620","Portugal","459","'01691","Chicory roots","5510","Production","2003","2003","tonnes",,"M"
"68","'250","France","15","'0111","Wheat","5312","Area harvested","2004","2004","ha","5237005.000000","A"
"203","'724","Spain","103","'01199.02","Mixed grain","5510","Production","1992","1992","tonnes","12085.000000","A"
"203","'724","Spain","328","'01921.01","Seed cotton, unginned","5510","Production","1999","1999","tonnes","388400.000000","A"
"68","'250","France","1069","'21122","Meat of ducks, fresh or chilled","5510","Production","2004","2004","tonnes","253211.000000","A"
"68","'250","France","550","'01351.01","Currants","5312","Area harvested","1981","1981","ha","1464.000000","A"
"106","'380","Italy","979","'21514","Sheep fat, unrendered","5320","Producing Animals/Slaughtered","1994","1994","Head","8053030.000000","A"
"203","'724","Spain","995","'02953","Raw hides and skins of sheep or lambs","5320","Producing Animals/Slaughtered","1971","1971","Head","11323128.000000","A"
"68","'250","France","292","'01442","Mustard seed","5419","Yield","1968","1968","hg/ha","9418.000000","E"
"106","'380","Italy","947","'21112","Meat of buffalo, fresh or chilled","5510","Production","1983","1983","tonnes","612.000000","A"
"79","'276","Germany","137","'01540","Yams","5510","Production","1998","1998","tonnes",,"M"
"203","'724","Spain","1807","'F1807","Sheep and Goat Meat","5320","Producing Animals/Slaughtered","2010","2010","Head","13111861.000000","E"
"203","'724","Spain","461","'01356","Locust beans (carobs)","5312","Area harvested","1989","1989","ha","90900.000000","A"
"174","'620","Portugal","1717","'F1717","Cereals, Total","5312","Area harvested","1984","1984","ha","984982.000000","E"
"68","'250","France","526","'01343","Apricots","5312","Area harvested","1997","1997","ha","16292.000000","A"
"79","'276","Germany","336","'01449.02","Hempseed","5510","Production","2010","2010","tonnes",,"M"
"203","'724","Spain","328","'01921.01","Seed cotton, unginned","5510","Production","2003","2003","tonnes","295056.000000","A"
"68","'250","France","397","'01232","Cucumbers and gherkins","5510","Production","1971","1971","tonnes","78800.000000","A"
"174","'620","Portugal","544","'01354","Strawberries","5312","Area harvested","2019","2019","ha","320.000000","A"
"106","'380","Italy","463","'01290.90","Other vegetables, fresh n.e.c.","5510","Production","1986","1986","tonnes","3253860.000000","A"
"203","'724","Spain","258","'21691.14","Oil of palm kernel","5510","Production","1991","1991","tonnes","2.350000","I"
"79","'276","Germany","882","'02211","Raw milk of cattle","5420","Yield","1964","1964","hg/An","32469.000000","E"
"174","'620","Portugal","1806","'F1806","Beef and Buffalo Meat","5320","Producing Animals/Slaughtered","1995","1995","Head","396004.000000","E"
"79","'276","Germany","977","'21115","Meat of sheep, fresh or chilled","5510","Production","1973","1973","tonnes","25800.000000","A"
"68","'250","France","536","'01346","Plums and sloes","5419","Yield","2014","2014","hg/ha","124396.000000","E"
"68","'250","France","554","'01355.02","Cranberries","5510","Production","2014","2014","tonnes",,"M"
"203","'724","Spain","234","'01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","5312","Area harvested","2013","2013","ha","2000.000000","E"
"174","'620","Portugal","44","'0115","Barley","5510","Production","1993","1993","tonnes","98500.000000","A"
"174","'620","Portugal","258","'21691.14","Oil of palm kernel","5510","Production","2016","2016","tonnes",,"M"
"68","'250","France","894","'22221.01","Whole milk, evaporated","5510","Production","2010","2010","tonnes","60000.000000","E"
"106","'380","Italy","270","'01443","Rape or colza seed","5312","Area harvested","1968","1968","ha","2743.000000","A"
"68","'250","France","526","'01343","Apricots","5419","Yield","2004","2004","hg/ha","112774.000000","E"
"174","'620","Portugal","995","'02953","Raw hides and skins of sheep or lambs","5510","Production","1981","1981","tonnes","4300.000000","E"
"79","'276","Germany","1729","'F1729","Treenuts, Total","5312","Area harvested","1990","1990","ha","5120.000000","E"
"106","'380","Italy","897","'22211","Whole milk powder","5510","Production","2009","2009","tonnes","0.000000","I"
"106","'380","Italy","122","'01530","Sweet potatoes","5312","Area harvested","1996","1996","ha","600.000000","E"
"203","'724","Spain","156","'01802","Sugar cane","5312","Area harvested","2011","2011","ha","2.000000","A"
"68","'250","France","1025","'02954","Raw hides and skins of goats or kids","5510","Production","2009","2009","tonnes","297.000000","I"
"68","'250","France","366","'01216","Artichokes","5312","Area harvested","1966","1966","ha","19860.000000","A"
"203","'724","Spain","420","'01243","Broad beans and horse beans, green","5419","Yield","1999","1999","hg/ha","90946.000000","E"
"79","'276","Germany","1765","'F1765","Meat, Total","5510","Production","1993","1993","tonnes","5926480.000000","E"
"106","'380","Italy","75","'0117","Oats","5312","Area harvested","2002","2002","ha","150933.000000","A"
"174","'620","Portugal","977","'21115","Meat of sheep, fresh or chilled","5510","Production","2020","2020","tonnes","14590.000000","A"
"203","'724","Spain","1080","'21124","Meat of turkeys, fresh or chilled","5321","Producing Animals/Slaughtered","2002","2002","1000 Head","3900.000000","E"
"106","'380","Italy","568","'01229","Cantaloupes and other melons","5510","Production","2002","2002","tonnes","506159.000000","A"
"203","'724","Spain","333","'01441","Linseed","5312","Area harvested","2003","2003","ha","11145.000000","A"
"79","'276","Germany","898","'22212","Skim milk and whey powder","5510","Production","1979","1979","tonnes","841374.000000","A"
"203","'724","Spain","723","'01699","Other stimulant, spice and aromatic crops, n.e.c.","5312","Area harvested","1973","1973","ha",,"M"
"174","'620","Portugal","866","'02111","Cattle","5111","Stocks","2006","2006","Head","1440800.000000","A"
"174","'620","Portugal","71","'0116","Rye","5510","Production","2000","2000","tonnes","46453.000000","A"
"79","'276","Germany","1080","'21124","Meat of turkeys, fresh or chilled","5510","Production","1980","1980","tonnes","44000.000000","A"
"106","'380","Italy","388","'01234","Tomatoes","5312","Area harvested","2003","2003","ha","130507.000000","A"
"106","'380","Italy","394","'01235","Pumpkins, squash and gourds","5419","Yield","1995","1995","hg/ha","263886.000000","E"
"203","'724","Spain","603","'01319","Other tropical fruits, n.e.c.","5510","Production","2018","2018","tonnes","675840.000000","A"
"174","'620","Portugal","406","'01252","Green garlic","5312","Area harvested","2006","2006","ha","220.000000","I"
"68","'250","France","1058","'21121","Meat of chickens, fresh or chilled","5424","Yield/Carcass Weight","2014","2014","0.1g/An","13517.000000","E"
"106","'380","Italy","552","'01355.01","Blueberries","5510","Production","1971","1971","tonnes","396.000000","A"
"203","'724","Spain","512","'01329","Other citrus fruit, n.e.c.","5312","Area harvested","1978","1978","ha","163.000000","A"
"174","'620","Portugal","1225","'21523","Tallow","5510","Production","1963","1963","tonnes","4199.000000","A"
"79","'276","Germany","334","'21691.12","Oil of linseed","5510","Production","1974","1974","tonnes","38393.730000","E"
"174","'620","Portugal","978","'21155","Edible offal of sheep, fresh, chilled or frozen","5320","Producing Animals/Slaughtered","2015","2015","Head","893802.000000","A"
"203","'724","Spain","333","'01441","Linseed","5419","Yield","2005","2005","hg/ha","11667.000000","E"
"203","'724","Spain","603","'01319","Other tropical fruits, n.e.c.","5510","Production","2006","2006","tonnes","40712.000000","I"
